Event,Country,Magnitude,Alert_Level,Population_100km,Vulnerability_Score,Estimated_Coping_Capacity,Total_News_Articles,Forgotten_Crisis_Index,Response_Delta_Days,Reporting_Tone,Avg_Sentiment_Polarity,Key_Organizations,Casualty_Mentions_Found
Haiti_2021 (Historical),Haiti,7.2,Red,932435.0,7.4,2.6,2199,235.83,1.48,Neutral (Highly Analytical),-0.048,"['AP NEWS', 'SQUADRA', 'LE MEXIQUE', 'AOÛT', 'NUOVA', 'SPANISH COOPERATION', 'UTC TENSIONS', 'CARITAS', 'GDACS', 'UNICEF']",[]
Myanmar_2025 (Current),Myanmar,7.7,Red,17235221.0,14.1,-4.1,6893,39.99,0.74,Neutral (Highly Analytical),-0.003,"['TRASPORTIAMO', 'ISRO SATELLITE IMAGES SHOW DAMAGE AFTER EARTHQUAKE', 'ISRO', 'GASTALDI DI UNA', 'THE INTERNATIONAL RESCUE COMMITTEE', 'UNDERSTANDING SIGNED FOR WATER SUPPLY PROJECT', 'NI', 'TERREMOTO', 'HERBOSA', 'PINOYS']","['2,000 dead']"
