Event,Country,Magnitude,Alert_Level,Population_100km,Vulnerability_Score,Estimated_Coping_Capacity,Total_News_Articles,Forgotten_Crisis_Index,Response_Delta_Days,Reporting_Tone,Avg_Sentiment_Polarity,Key_Organizations,Casualty_Mentions_Found
Haiti_2021 (Historical),Haiti,7.2,Red,932435.0,7.4,2.6,2199,235.83,1.48,Neutral (Highly Analytical),-0.022,"['GDACS', ""UNE GESTION EFFICACE DE L'AIDE"", 'TG NEWS', 'THE ASSOCIATED PRESS & SCRIPPS', 'IRISH RED CROSS’S PUBLIC APPEAL', 'HAÏTI - USA', 'NEWS24.COM', 'HAITIAN GANGS KIDNAP DOCTOR', 'TERREMOTO DI MAGNITUDO', 'CBP']",['2 Dead']
Myanmar_2025 (Current),Myanmar,7.7,Red,17235221.0,14.1,-4.1,6893,39.99,0.74,Neutral (Highly Analytical),0.016,"['PINOYS', 'WAQF BOARD', 'SEARCH', 'ANCHE LE', 'MOU', 'THE INTERNATIONAL RESCUE COMMITTEE', 'MYNAMAR', 'CARTOSAT-3', 'FAMILIES AWAITS NEWS OF MISSING WORKERS AT SITE OF BANGKOK BUILDING COLLAPSE', 'HOUSE']","['2,000 killed', '1,700 Dead', '2000 dead', '2,000 dead', '5 Killed']"
