Event,Country,Magnitude,Alert_Level,Population_100km,Vulnerability_Score,Total_News_Articles,Forgotten_Crisis_Index,Estimated_Coping_Capacity,Response_Delta_Days,Reporting_Tone,Avg_Sentiment_Polarity,Key_Organizations,Casualty_Mentions_Found
Haiti_2021 (Historical),Haiti,7.2,Red,932435.0,7.4,2199,235.83,2.6,2.5,Neutral (Highly Analytical),-0.011,"['Haïti', 'Grace', 'UTC', ""d'Haïti"", 'Tropical Storm Grace', 'MIL', 'UNICEF', 'Reuters', 'CBSN', 'The Associated Press & Scripps National']","['2,189 dead', '2,100 dead', '2,000 dead', '1,941 killed', '1,941 dead']"
Myanmar_2025 (Current),Myanmar,7.7,Red,17235221.0,14.1,6893,39.99,-4.1,1.5,Neutral (Highly Analytical),-0.002,"['World News', 'Terremoto', 'AP News Summary', 'ISRO', 'Caritas', 'ASEAN', 'Xinhua News', 'Pinoys', 'NDRF', 'che']","['10,000 Casualties', '2,000 fatalities', '2,000 dead', '2,000 killed', '1,700 dead']"
